n,name_test_case,best_fitness,best_solution,avg_fitness,avg_run_time,num of drone,num of trucks
11,C101_0.5.dat,139.0,"[[[[0, [5, 3, 4, 1, 2, 10]], [5, []], [3, []], [4, []], [1, []], [2, []], [6, [6, 9, 8, 7]], [9, []], [8, []], [10, []], [7, []]]], [[[6, [6, 9, 8, 7]]]]]",139.00000000000003,22.01981599330902,1,1
11,C101_1.5.dat,158.13274595042157,"[[[[0, [5, 1]], [5, [3, 4, 2, 10]], [3, []], [4, []], [1, []], [2, []], [6, [6, 9, 8, 7]], [9, []], [8, []], [10, []], [7, []]]], [[[5, [3, 4, 2, 10]]], [[6, [6, 9, 8, 7]]]]]",158.13274595042157,20.074385571479795,1,1
11,C101_1.dat,149.0,"[[[[0, [5, 3, 4, 1, 2, 10]], [5, []], [3, []], [4, []], [1, []], [2, []], [6, [6, 9, 8, 7]], [9, []], [8, []], [10, []], [7, []]]], [[[6, [6, 9, 8, 7]]]]]",149.00000000000003,19.620503187179565,1,1
11,C101_2.5.dat,187.11077027627482,"[[[[0, [5, 2]], [10, [1, 10, 3, 4]], [5, []], [3, []], [1, []], [2, []], [4, []], [8, [8, 6, 7, 9]], [9, []], [6, []], [7, []]]], [[[10, [1, 10, 3, 4]]], [[8, [8, 6, 7, 9]]]]]",187.11077027627482,23.340847754478453,1,1
11,C101_2.dat,167.62529317031215,"[[[[0, [1]], [5, [2, 5]], [2, []], [1, []], [3, [10, 3, 4]], [4, []], [10, []], [8, [8, 6, 9, 7]], [9, []], [6, []], [7, []]]], [[[5, [2, 5]]], [[3, [10, 3, 4]]], [[8, [8, 6, 9, 7]]]]]",168.3377052192185,23.953572154045105,1,1
11,C101_3.dat,210.11077027627482,"[[[[0, [5, 3, 4, 1, 2]], [5, [10]], [10, []], [3, []], [4, []], [1, []], [2, []], [8, [8, 9, 6, 7]], [9, []], [6, []], [7, []]]], [[[5, [10]]], [[8, [8, 9, 6, 7]]]]]",210.11077027627485,23.102855038642883,1,1
11,C201_0.5.dat,359.0,"[[[[0, []], [5, [4, 2, 1, 5]], [4, []], [3, [3, 7]], [7, []], [1, []], [2, []], [9, [9, 6, 10, 8]], [10, []], [8, []], [6, []]]], [[[5, [4, 2, 1, 5]]], [[3, [3, 7]]], [[9, [9, 6, 10, 8]]]]]",359.9,26.999563002586363,1,1
11,C201_1.5.dat,397.13274595042157,"[[[[0, []], [5, [5, 3, 1, 4]], [4, []], [3, []], [7, [7, 2, 10]], [1, []], [2, []], [9, [9, 8, 6]], [10, []], [8, []], [6, []]]], [[[5, [5, 3, 1, 4]]], [[7, [7, 2, 10]]], [[9, [9, 8, 6]]]]]",398.6799860782564,28.43483474254608,1,1
11,C201_1.dat,376.52277622223573,"[[[[0, [1]], [2, [2]], [1, []], [7, [7, 3, 4, 5]], [3, []], [4, []], [5, [8, 10, 6, 9]], [8, []], [10, []], [9, []], [6, []]]], [[[2, [2]]], [[7, [7, 3, 4, 5]]], [[5, [8, 10, 6, 9]]]]]",376.5227762222357,28.63157787322998,1,1
11,C201_2.5.dat,465.9072480941474,"[[[[0, [1]], [5, [5]], [1, [3, 4]], [3, []], [4, []], [7, [7, 2]], [2, []], [10, [6, 10, 8]], [8, []], [9, [9]], [6, []]]], [[[5, [5]]], [[1, [3, 4]]], [[7, [7, 2]]], [[10, [6, 10, 8]]], [[9, [9]]]]]",466.50439036796166,24.953645277023313,1,1
11,C201_2.dat,422.3238075793812,"[[[[0, [1]], [5, [5]], [1, [4, 3]], [4, []], [3, []], [7, [7, 10, 2]], [2, []], [9, [6, 8, 9]], [10, []], [8, []], [6, []]]], [[[5, [5]]], [[1, [4, 3]]], [[7, [7, 10, 2]]], [[9, [6, 8, 9]]]]]",422.32380757938125,26.94639310836792,1,1
11,C201_3.dat,505.3238075793812,"[[[[0, [1]], [5, [5]], [1, []], [2, [2, 3, 10, 4]], [4, []], [3, []], [7, [7]], [10, [8]], [8, []], [9, [9, 6]], [6, []]]], [[[5, [5]]], [[2, [2, 3, 10, 4]]], [[7, [7]]], [[10, [8]]], [[9, [9, 6]]]]]",505.3238075793813,23.942191004753113,1,1
11,R101_0.5.dat,431.0,"[[[[0, [1]], [2, [2, 5]], [4, [3, 10, 7, 4]], [3, []], [9, [9, 8, 6]], [1, []], [10, []], [7, []], [8, []], [5, []], [6, []]]], [[[2, [2, 5]]], [[4, [3, 10, 7, 4]]], [[9, [9, 8, 6]]]]]",431.0000000000001,27.79528558254242,1,1
11,R101_1.5.dat,467.0,"[[[[0, [1]], [1, []], [2, [2]], [4, [4, 3, 10, 5]], [3, []], [9, [9, 7, 8, 6]], [10, []], [7, []], [8, []], [5, []], [6, []]]], [[[2, [2]]], [[4, [4, 3, 10, 5]]], [[9, [9, 7, 8, 6]]]]]",466.99999999999994,27.183271121978763,1,1
11,R101_1.dat,450.0,"[[[[0, [1]], [2, [2]], [4, [4, 3, 10, 5]], [3, []], [9, [9, 7, 8, 6]], [1, []], [10, []], [7, []], [8, []], [5, []], [6, []]]], [[[2, [2]]], [[4, [4, 3, 10, 5]]], [[9, [9, 7, 8, 6]]]]]",450.0,27.010862326622007,1,1
11,R101_2.5.dat,602.180339887499,"[[[[0, [1]], [1, [5]], [3, [3]], [4, [2, 4]], [2, []], [6, [6, 10, 8, 7]], [5, []], [8, []], [7, []], [10, [9]], [9, []]]], [[[1, [5]]], [[3, [3]]], [[4, [2, 4]]], [[6, [6, 10, 8, 7]]], [[10, [9]]]]]",602.1803398874989,26.900731253623967,1,1
11,R101_2.dat,534.0156211871642,"[[[[0, [1]], [1, []], [2, [10, 2, 5]], [4, [4, 3, 7]], [3, []], [9, [9, 8, 6]], [10, []], [7, []], [8, []], [5, []], [6, []]]], [[[2, [10, 2, 5]]], [[4, [4, 3, 7]]], [[9, [9, 8, 6]]]]]",534.0156211871642,26.48345711231232,1,1
11,R101_3.dat,664.180339887499,"[[[[0, [4, 3, 1, 2]], [1, []], [4, [10, 5]], [2, []], [6, [6, 8, 7]], [5, []], [8, []], [7, [9]], [10, []], [9, []], [3, []]]], [[[4, [10, 5]]], [[6, [6, 8, 7]]], [[7, [9]]]]]",664.1803398874991,26.609136486053465,1,1
11,RC101_0.5.dat,359.54101966249686,"[[[[0, [1]], [9, [9, 10, 8, 7]], [10, []], [7, []], [6, [6, 4, 5, 3]], [8, []], [4, []], [5, []], [3, []], [1, []], [2, [2]]]], [[[9, [9, 10, 8, 7]]], [[6, [6, 4, 5, 3]]], [[2, [2]]]]]",359.5410196624969,25.341179156303408,1,1
11,RC101_1.5.dat,397.3016516106934,"[[[[0, [1]], [2, [3, 4, 2, 5]], [3, []], [1, []], [5, []], [4, []], [6, [6, 7, 8, 10]], [8, []], [7, []], [10, [9]], [9, []]]], [[[2, [3, 4, 2, 5]]], [[6, [6, 7, 8, 10]]], [[10, [9]]]]]",397.30165161069345,24.047086882591245,1,1
11,RC101_1.dat,371.10749521219213,"[[[[0, [1]], [2, [4, 3, 2, 5]], [3, []], [1, []], [5, []], [4, []], [6, [6, 8, 7, 9]], [8, []], [7, []], [10, [10]], [9, []]]], [[[2, [4, 3, 2, 5]]], [[6, [6, 8, 7, 9]]], [[10, [10]]]]]",371.1074952121921,22.077416157722475,1,1
11,RC101_2.5.dat,497.3016516106934,"[[[[0, [1]], [2, [2]], [4, [4, 3, 5, 10]], [3, []], [5, []], [1, []], [6, [6, 8, 7]], [7, []], [8, []], [10, [9]], [9, []]]], [[[2, [2]]], [[4, [4, 3, 5, 10]]], [[6, [6, 8, 7]]], [[10, [9]]]]]",497.30165161069345,25.461417937278746,1,1
11,RC101_2.dat,447.3016516106934,"[[[[0, [1]], [1, []], [5, [2, 4, 5, 3]], [3, []], [2, []], [4, []], [6, [6, 7, 8]], [7, []], [8, []], [9, [9, 10]], [10, []]]], [[[5, [2, 4, 5, 3]]], [[6, [6, 7, 8]]], [[9, [9, 10]]]]]",447.30165161069345,24.805128049850467,1,1
11,RC101_3.dat,546.3016516106934,"[[[[0, [2, 10]], [4, [3, 1, 4, 5]], [5, []], [3, []], [1, []], [2, []], [6, [6, 8, 7]], [7, []], [8, []], [10, []], [9, [9]]]], [[[4, [3, 1, 4, 5]]], [[6, [6, 8, 7]]], [[9, [9]]]]]",546.3016516106934,23.67775363922119,1,1
