n,name_test_case,best_fitness,best_solution,avg_fitness,avg_run_time,num of drone,num of trucks
16,C101_0.5.dat,272.0,"[[[[0, [2, 1, 11, 13, 5, 4, 3]], [5, []], [3, []], [4, []], [1, []], [2, []], [6, [6, 8, 9, 12]], [8, []], [9, []], [12, [14, 15, 10, 7]], [14, []], [15, []], [13, []], [11, []], [10, []], [7, []]]], [[[6, [6, 8, 9, 12]]], [[12, [14, 15, 10, 7]]]]]",273.61898389805884,133.72531478404997,1,1
16,C101_1.5.dat,301.0555127546399,"[[[[0, [1]], [1, [2, 3, 5, 4]], [2, []], [4, []], [3, []], [5, []], [10, [10, 11, 13]], [11, []], [13, []], [15, [15, 12, 14, 8]], [14, []], [12, []], [9, [9, 7, 6]], [8, []], [6, []], [7, []]]], [[[1, [2, 3, 5, 4]]], [[10, [10, 11, 13]]], [[15, [15, 12, 14, 8]]], [[9, [9, 7, 6]]]]]",302.72983473385113,138.25349123477935,1,1
16,C101_1.dat,284.68154169226943,"[[[[0, [1]], [1, [2, 5, 3, 4]], [2, []], [4, []], [5, []], [3, []], [10, [10, 11, 13]], [11, []], [12, [12, 14, 15]], [14, []], [15, []], [13, []], [9, [9, 8, 7, 6]], [8, []], [6, []], [7, []]]], [[[1, [2, 5, 3, 4]]], [[10, [10, 11, 13]]], [[12, [12, 14, 15]]], [[9, [9, 8, 7, 6]]]]]",288.80869375712444,137.08910629749298,1,1
16,C101_2.5.dat,372.64688270438853,"[[[[0, [1, 13, 5]], [5, []], [3, [2, 3, 10, 4]], [10, []], [1, []], [2, []], [4, []], [11, [14, 11, 15, 7]], [13, []], [15, []], [14, []], [12, [12, 6, 9, 8]], [9, []], [8, []], [6, []], [7, []]]], [[[3, [2, 3, 10, 4]]], [[11, [14, 11, 15, 7]]], [[12, [12, 6, 9, 8]]]]]",373.67011708635886,143.25813274383543,1,1
16,C101_2.dat,339.64688270438853,"[[[[0, [1, 5, 4, 2, 11]], [5, []], [3, [3, 10, 13]], [4, []], [2, []], [1, []], [10, []], [11, [15, 14, 7]], [13, []], [15, []], [14, []], [12, [12, 6, 8, 9]], [9, []], [8, []], [6, []], [7, []]]], [[[3, [3, 10, 13]]], [[11, [15, 14, 7]]], [[12, [12, 6, 8, 9]]]]]",342.43356910645934,134.72619576454164,1,1
16,C101_3.dat,410.07886552931956,"[[[[0, [5, 3, 13, 1, 11]], [11, []], [5, []], [3, []], [1, [4, 2]], [4, []], [2, []], [10, [15, 14, 10, 7]], [13, []], [15, []], [14, []], [12, [12, 9, 8, 6]], [9, []], [8, []], [6, []], [7, []]]], [[[1, [4, 2]]], [[10, [15, 14, 10, 7]]], [[12, [12, 9, 8, 6]]]]]",410.07886552931956,136.5201568365097,1,1
16,C201_0.5.dat,446.74524290015296,"[[[[0, []], [5, [5, 1, 13]], [4, [4, 7, 3, 14]], [3, []], [7, []], [1, []], [2, [2, 10, 11, 8]], [11, []], [10, []], [8, []], [9, [9, 12, 15, 6]], [12, []], [14, []], [15, []], [13, []], [6, []]]], [[[5, [5, 1, 13]]], [[4, [4, 7, 3, 14]]], [[2, [2, 10, 11, 8]]], [[9, [9, 12, 15, 6]]]]]",447.8157181732534,165.54196300506592,1,1
16,C201_1.5.dat,493.9072480941474,"[[[[0, [1]], [1, [13, 3, 4]], [3, []], [4, []], [7, [7, 2, 5, 10]], [2, []], [5, []], [8, [8, 11, 14, 15]], [10, []], [11, []], [9, [9, 12, 6]], [12, []], [14, []], [15, []], [13, []], [6, []]]], [[[1, [13, 3, 4]]], [[7, [7, 2, 5, 10]]], [[8, [8, 11, 14, 15]]], [[9, [9, 12, 6]]]]]",495.1274110599393,153.37105221748354,1,1
16,C201_1.dat,464.9072480941474,"[[[[0, [13]], [2, [1, 2, 5]], [1, []], [7, [7, 3, 10, 4]], [3, []], [4, []], [5, []], [8, [9, 8, 11]], [10, []], [11, []], [9, [12, 6, 14, 15]], [12, []], [14, []], [15, []], [13, []], [6, []]]], [[[2, [1, 2, 5]]], [[7, [7, 3, 10, 4]]], [[8, [9, 8, 11]]], [[9, [12, 6, 14, 15]]]]]",466.0467021241306,157.77327165603637,1,1
16,C201_2.5.dat,596.3238075793812,"[[[[0, [1]], [13, [13]], [1, []], [4, [4, 3, 5, 10]], [3, []], [7, [7, 2, 11]], [2, []], [5, []], [8, [8, 15]], [10, []], [11, []], [9, [9, 12, 14, 6]], [12, []], [14, []], [15, []], [6, []]]], [[[13, [13]]], [[4, [4, 3, 5, 10]]], [[7, [7, 2, 11]]], [[8, [8, 15]]], [[9, [9, 12, 14, 6]]]]]",596.3238075793812,164.8009039402008,1,1
